Biome	SWRad	Tavg	Tmin	VPD	Fpar	LAI
2	174.199951	24.249994	22.249994	0.000000	74	45
 	180.399902	24.644983	22.449976	24.821878	73	44
 	170.899902	25.544992	23.249994	179.331604	68	39
 	177.199951	24.794992	22.749994	67.382065	76	46
 	174.399902	25.195002	22.050013	104.986206	75	43
 	201.699951	24.400003	21.249994	11.977509	76	44
 	176.199951	23.994989	21.839991	0.000000	80	46
 	187.699951	24.150003	21.249994	0.000000	83	52
 	166.199951	24.499994	22.249994	60.418747	81	50
 	162.399902	23.994989	21.839991	37.351177	80	48
 	194.699951	23.994989	21.649988	66.590721	81	53
 	179.699951	24.244989	22.339991	32.997875	71	41
 	187.199951	24.199991	21.749994	64.018661	 	 
 	169.899902	24.299982	22.149988	68.833778	 	 
 	193.399902	24.449991	21.749994	73.822563	 	 
 	203.199951	23.744989	20.839991	0.000000	 	 
 	195.399902	23.799982	20.649988	0.000000	 	 
 	178.000000	24.100000	21.550013	10.219636	 	 
 	181.399902	24.544992	21.249994	65.655922	 	 
 	178.699951	24.199991	22.149988	0.000000	 	 
 	215.399902	24.150003	21.050013	0.000000	 	 
 	211.199951	24.199991	21.649988	69.087204	 	 
 	200.699951	24.699976	21.449976	51.580509	 	 
 	195.699951	24.644983	21.949976	63.330166	 	 
 	222.199951	24.644983	21.449976	48.044567	 	 
 	210.199951	24.549982	22.149988	93.855827	 	 
 	221.699951	23.799982	21.449976	27.137924	 	 
 	181.899902	24.499994	21.749994	105.538826	 	 
 	202.199951	23.549982	20.449976	0.000000	 	 
 	160.000000	24.100000	21.550013	94.874405	 	 
 	207.699951	24.350000	20.550013	51.875103	 	 
 	173.899902	24.049982	21.449976	0.000000	 	 
 	185.899902	23.699976	20.949976	0.000000	 	 
 	194.899902	23.350000	21.050013	0.000000	 	 
 	166.500000	23.244989	21.149988	0.000000	 	 
 	166.500000	23.550013	21.050013	83.309326	 	 
 	193.399902	24.049982	21.449976	13.100118	 	 
 	167.899902	24.144983	22.449976	1.787277	 	 
 	181.699951	24.049982	21.949976	7.080815	 	 
 	168.199951	24.044992	21.749994	0.000000	 	 
 	184.199951	23.850000	21.050013	0.000000	 	 
 	180.699951	24.394983	22.339991	52.971107	 	 
 	160.699951	24.049982	22.149988	52.287025	 	 
 	178.199951	23.999994	21.949976	43.915062	 	 
 	184.399902	25.499994	20.949976	254.992477	 	 
 	188.899902	24.394983	22.339991	67.068283	 	 
 	196.899902	24.349985	21.949976	18.142965	 	 
 	197.399902	24.494989	21.649988	112.253799	 	 
 	186.199951	24.544992	22.339991	67.694962	 	 
 	186.199951	24.350000	22.050013	61.431591	 	 
 	203.399902	26.499994	21.749994	386.017731	 	 
 	186.899902	23.699991	21.749994	4.678503	 	 
 	188.399902	24.449991	21.649988	90.053101	 	 
 	209.899902	24.599985	21.249994	0.000000	 	 
 	185.899902	23.850000	21.050013	0.000000	 	 
 	177.500000	23.999994	21.550013	19.150408	 	 
 	206.199951	24.800013	22.050013	136.991623	 	 
 	176.399902	24.900003	22.550013	110.586868	 	 
 	161.000000	24.549982	22.449976	66.442650	 	 
 	194.899902	24.589991	22.339991	106.676987	 	 
 	192.699951	23.899988	21.649988	0.000000	 	 
 	176.399902	24.294992	22.339991	61.475208	 	 
 	170.500000	24.749994	22.449976	49.796871	 	 
 	176.199951	24.339991	22.339991	127.704239	 	 
 	216.899902	24.649988	21.649988	194.399673	 	 
 	148.000000	24.799982	22.449976	78.334045	 	 
 	192.199951	24.294992	21.749994	60.152351	 	 
 	209.399902	23.799982	21.449976	38.032333	 	 
 	209.899902	23.494989	21.339991	12.956862	 	 
 	192.399902	23.850000	21.649988	50.738796	 	 
 	184.000000	23.999994	21.749994	91.648224	 	 
 	205.699951	24.149988	21.149988	120.666786	 	 
 	200.199951	24.999994	21.749994	178.926987	 	 
 	174.399902	24.199976	21.949976	56.956863	 	 
 	188.699951	24.549982	21.149988	57.268017	 	 
 	184.399902	23.894983	20.949976	0.000000	 	 
 	162.699951	24.695002	21.839991	76.601257	 	 
 	184.399902	25.994989	21.839991	273.424164	 	 
 	200.399902	25.099985	21.949976	98.065323	 	 
 	187.899902	24.994989	22.149988	124.362648	 	 
 	174.899902	24.445002	21.339991	51.588036	 	 
 	163.199951	24.195002	21.839991	10.607217	 	 
 	188.899902	23.850000	21.050013	0.000000	 	 
 	173.699951	24.100000	22.149988	49.744675	 	 
 	191.899902	23.999994	21.050013	76.032478	 	 
 	181.899902	24.699976	21.949976	100.329887	 	 
 	178.399902	25.449991	22.249994	211.236282	 	 
 	196.899902	24.350000	21.149988	36.501446	 	 
 	155.000000	24.499994	21.749994	5.388443	 	 
