Parameter	ENF	EBF	DNF	DBF	MF	WL	WGL	CSL	OSL	GL	CL
Epsilon_max	0.000908	0.0011	0.0011	0.0011	0.001	0.00086	0.00076	0.00066	0.00066	0.0006	0.00076
Tmin_start	8.31	9.09	10.44	7.94	8.5	10.24	11.39	8.61	8.8	12.02	12.02
Tmin_stop	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8	-8
VPD_start	3100	3600	3100	3600	3600	5000	5000	4100	4100	5000	4100
VPD_stop	610	1100	610	1100	1100	1100	1100	970	970	1000	930
sla	16.10 	20.30 	28.00 	32.20 	21.50 	30.00 	30.00 	18.00 	12.00 	40.00 	40.00 
q10_mr	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 	2.00 
froot_leaf_ratio	1.30 	1.10 	1.30 	1.10 	1.20 	1.50 	1.80 	1.40 	1.40 	1.00 	2.00 
livewood_leaf_ratio	0.081 	0.162 	0.152 	0.203 	0.132 	0.107 	0.051 	0.079 	0.040 	0.000 	0.000 
leaf_mr_base	0.00653 	0.00604 	0.00805 	0.00778 	0.00677 	0.00824 	0.00869 	0.00519 	0.00714 	0.00908 	0.00908 
froot_mr_base	0.00519 	0.00519 	0.00519 	0.00519 	0.00519 	0.00519 	0.00519 	0.00519 	0.00519 	0.00519 	0.00619 
livewood_mr_base	0.00320 	0.00397 	0.00297 	0.00371 	0.00372 	0.00212 	0.00100 	0.00436 	0.00218 	0.00000 	0.00000 
leaf_gr_base	0.30 	0.30 	0.30 	0.30 	0.30 	0.30 	0.30 	0.30 	0.30 	0.30 	0.30 
froot_leaf_gr_ratio	1.30 	1.10 	1.30 	1.10 	1.10 	1.50 	1.80 	1.00 	1.50 	2.00 	2.00 
livewood_leaf_gr_ratio	0.16 	0.20 	0.15 	0.19 	0.11 	0.05 	0.22 	0.11 	0.00 	0.00 	0.00 
deadwood_leaf_gr_ratio	1.60 	1.10 	1.50 	1.60 	1.80 	1.00 	0.50 	0.00 	0.00 	0.00 	0.00 
ann_turnover_fraction	0.25 	0.50 	1.00 	1.00 	0.50 	0.25 	0.25 	0.25 	0.25 	1.00 	1.00 
