Biome	SWRad	Tavg	Tmin	VPD	Fpar	LAI
11	78.399902	-11.554998	-16.449987	0.000000	0	0
 	81.199951	-10.999998	-18.450003	0.000000	23	3
 	80.699951	-7.550009	-12.850012	0.097062	21	4
 	80.199951	-6.554998	-10.160009	0.000000	31	7
 	80.399902	-7.355001	-12.660009	0.000000	45	12
 	49.199951	-2.050009	-5.250006	0.000000	46	12
 	64.399902	1.600000	1.149988	14.062392	42	11
 	71.899902	3.195001	0.050012	0.000000	38	9
 	74.500000	-1.400000	-3.549994	31.758566	35	7
 	64.500000	2.945001	-0.660010	0.000000	26	5
 	82.899902	-6.005011	-12.660009	26.865242	31	5
 	77.500000	-12.199995	-18.950003	0.000000	58	12
 	50.699951	-2.349997	-5.750006	0.000000	 	 
 	81.899902	-2.750006	-6.750006	0.000000	 	 
 	58.199951	1.299982	0.649988	9.205072	 	 
 	58.399902	-2.355002	-5.049994	0.000000	 	 
 	77.399902	-3.599997	-6.250006	22.854511	 	 
 	92.699951	-6.255011	-9.160009	21.746593	 	 
 	92.699951	-7.650000	-11.350012	0.000000	 	 
 	94.199951	-10.400000	-17.049994	0.000000	 	 
 	97.899902	-9.505003	-17.349997	0.000000	 	 
 	100.399902	-4.054999	-7.449988	3.897889	 	 
 	92.899902	-5.804998	-9.449987	0.000000	 	 
 	103.500000	-8.400000	-13.350012	0.000000	 	 
 	91.399902	-2.505011	-5.160010	0.000000	 	 
 	87.699951	0.649988	-0.350012	0.000000	 	 
 	93.699951	2.894983	0.949976	41.433117	 	 
 	89.899902	4.699975	1.949976	2.387635	 	 
 	61.199951	6.499994	4.749994	0.000000	 	 
 	61.199951	6.599985	4.949975	27.392708	 	 
 	54.399902	5.044992	3.339990	20.324940	 	 
 	108.000000	-1.950003	-6.549994	92.475838	 	 
 	108.199951	-5.999991	-7.449988	0.701117	 	 
 	110.699951	-12.399992	-19.349997	50.320328	 	 
 	100.699951	-10.699995	-18.950003	0.000000	 	 
 	93.699951	-0.550009	-2.250006	0.000000	 	 
 	78.199951	2.150003	0.550012	0.000000	 	 
 	84.199951	2.199991	-0.250006	35.080238	 	 
 	101.699951	-1.600012	-4.350012	3.583852	 	 
 	136.699951	-1.650000	-5.549994	0.000000	 	 
 	132.000000	1.144998	-0.549994	40.847088	 	 
 	105.199951	2.445001	-0.660010	0.000000	 	 
 	141.199951	-0.255011	-1.350012	0.000000	 	 
 	139.000000	-0.599997	-2.250006	0.000000	 	 
 	122.199951	-0.400000	-1.949988	0.000000	 	 
 	108.500000	0.599985	0.249994	0.000000	 	 
 	127.000000	-0.300009	-1.549994	13.061981	 	 
 	126.699951	0.044992	-1.250006	0.000000	 	 
 	114.000000	0.544992	0.249994	0.000000	 	 
 	147.199951	-1.304999	-2.949988	0.000000	 	 
 	131.699951	-3.450003	-5.350012	8.657583	 	 
 	165.899902	-6.150000	-9.549994	40.646954	 	 
 	166.899902	-4.249990	-8.549994	0.000000	 	 
 	95.699951	-0.005011	-2.160010	0.000000	 	 
 	137.000000	-0.554999	-3.660010	0.000000	 	 
 	135.699951	-0.255011	-1.350012	7.074063	 	 
 	156.699951	-0.099997	-1.250006	1.265157	 	 
 	129.199951	-0.499991	-1.549994	0.622760	 	 
 	181.399902	-5.449987	-10.449987	0.000000	 	 
 	117.199951	-2.550009	-6.350012	0.000000	 	 
 	144.899902	2.544992	-4.660010	0.000000	 	 
 	183.199951	4.999994	2.949975	99.180145	 	 
 	150.000000	8.099985	4.249994	14.539083	 	 
 	110.199951	9.599985	6.949975	87.150986	 	 
 	153.699951	10.894983	7.339990	153.618729	 	 
 	170.399902	10.949991	7.249994	192.019165	 	 
 	156.699951	8.199976	2.949975	64.460609	 	 
 	106.399902	-0.705008	-4.250006	8.118077	 	 
 	85.699951	-2.150000	-3.850012	0.000000	 	 
 	139.699951	1.650003	-1.449988	27.428297	 	 
 	131.899902	2.750009	-1.549994	0.000000	 	 
 	143.899902	2.949991	-0.850012	17.699631	 	 
 	93.399902	1.650003	-0.750006	0.000000	 	 
 	109.699951	1.449991	0.149988	20.213337	 	 
 	153.699951	-3.554999	-6.949988	0.000000	 	 
 	223.699951	-5.650000	-9.549994	2.719953	 	 
 	213.199951	-3.205008	-7.160010	0.000000	 	 
 	206.399902	-0.900000	-2.949988	0.000000	 	 
 	190.199951	-0.849997	-2.949988	0.000000	 	 
 	174.699951	0.244989	-0.850012	0.000000	 	 
 	129.699951	3.294992	0.749994	0.000000	 	 
 	166.500000	4.849985	2.249994	53.233753	 	 
 	198.399902	5.644983	1.949976	113.483368	 	 
 	137.899902	5.945002	2.550012	7.518659	 	 
 	217.899902	7.044992	3.339990	80.435249	 	 
 	251.899902	7.099985	1.949976	114.540771	 	 
 	258.899902	7.600000	2.550012	168.227463	 	 
 	259.199951	8.445002	4.050012	136.440018	 	 
 	263.699951	8.695002	4.550012	210.238434	 	 
 	256.899902	7.749994	2.949975	127.475388	 	 
 	145.199951	6.999994	4.249994	50.665157	 	 
 	179.699951	9.449976	6.949975	66.405693	 	 
 	147.500000	8.350000	6.050012	54.315376	 	 
 	253.899902	7.400003	4.249994	148.668518	 	 
 	247.699951	0.100000	-4.449988	143.694778	 	 
 	277.399902	0.839990	-4.660010	93.026398	 	 
 	222.199951	5.749994	0.749994	0.000000	 	 
 	193.199951	10.144983	5.839990	42.197632	 	 
 	183.000000	11.894983	7.949975	175.634689	 	 
 	248.399902	11.850000	7.050012	162.687775	 	 
 	269.399902	13.999994	8.749994	218.189133	 	 
 	168.500000	13.650003	9.550013	121.804718	 	 
 	256.699951	11.044992	6.749994	189.361755	 	 
 	265.199951	10.549982	3.649988	142.190262	 	 
 	192.000000	12.149988	6.649988	103.843987	 	 
 	223.699951	12.999994	8.449976	0.000000	 	 
 	215.199951	15.300013	11.050013	130.815201	 	 
 	273.399902	14.445002	10.550013	104.858490	 	 
 	317.500000	12.100000	8.649988	231.813065	 	 
 	276.899902	12.449991	8.149988	282.129211	 	 
 	222.399902	11.199991	7.649988	57.986988	 	 
 	242.699951	9.100000	6.050012	152.837402	 	 
 	323.199951	9.549982	4.449975	288.000183	 	 
 	331.699951	9.599985	3.949975	309.495758	 	 
 	334.500000	10.350000	4.550012	398.683502	 	 
 	336.000000	12.544992	5.749994	460.998260	 	 
 	334.199951	15.149988	7.649988	533.000610	 	 
 	325.699951	16.699991	10.149988	550.633057	 	 
 	188.699951	15.150003	10.749994	354.532837	 	 
 	237.699951	13.050013	8.050013	219.162735	 	 
 	337.000000	12.195002	6.839990	347.915497	 	 
 	306.899902	14.499994	8.050013	496.435608	 	 
 	252.899902	9.549982	3.149988	293.174652	 	 
 	193.199951	6.300013	0.550012	126.287277	 	 
 	321.199951	3.744989	-0.660010	121.979248	 	 
 	322.199951	4.049997	-1.549994	197.632126	 	 
 	334.500000	4.494989	-3.660010	170.194733	 	 
 	333.199951	9.445002	3.050012	450.204254	 	 
 	310.899902	12.649988	6.649988	557.232300	 	 
 	183.199951	11.849985	7.749994	383.446625	 	 
 	316.699951	13.894983	8.339991	424.112701	 	 
 	295.899902	14.994989	9.649988	466.438538	 	 
 	268.199951	8.699991	3.149988	214.720581	 	 
 	245.899902	6.949976	1.449976	118.959785	 	 
 	259.899902	11.249994	6.249994	159.993881	 	 
 	226.699951	12.899988	7.649988	161.754852	 	 
